songId,title,artist,album,albumId,cover
"32337668","The Hills","The Weeknd","The Hills","3154642","109951167086563993.jpg"
"431610014","Starboy","The Weeknd / Daft Punk","Starboy","34881446","109951167103667631.jpg"
"442867526","Die For You","The Weeknd","Starboy","34881446","109951167103667631.jpg"
"33599620","Hotline Bling","Drake","Hotline Bling","3233085","3357908511357769.jpg"
"441489378","Redbone","Childish Gambino","""Awaken, My Love!""","34985334","18502581673446504.jpg"
"2016284895","Sure Thing","Miguel","Sure Thing (Sped Up)","158655485","109951168251189553.jpg"
"26395570","Adorn (Groundislava Cool Mix)","Miguel","Groundislava Treasure Chest","2478637","2297979302111027.jpg"
"2142210969","Exchange","Bryson Tiller","R&B Summer","191077600","109951169466268990.jpg"
"1424400870","HEARTBREAK ANNIVERSARY","GIVĒON","HEARTBREAK ANNIVERSARY","85829468","109951164721112217.jpg"
"1340558332","7 rings","Ariana Grande","thank u, next","75377200","109951165347857138.jpg"
"553814210","no tears left to cry","Ariana Grande","Sweetener","72072332","109951168070581645.jpg"
"426194883","Pink + White","Frank Ocean","Blonde","34818182","109951167817024864.jpg"
"2091578499","Water","Tyla","InterSpace Presents: Nigeria at 63","177029692","109951168988835211.jpg"
"2030120910","Unholy","Sam Smith / Kim Petras","HITS Spring 2023","161782213","109951168468366282.jpg"
"30953009","See You Again","Wiz Khalifa / Charlie Puth","Furious 7: Original Motion Picture Soundtrack (Deluxe)","3104138","109951166715465943.jpg"
"1297841","Love The Way You Lie","Eminem / Rihanna","Life After Recovery","133862","831230790642200.jpg"
"27902187","The Monster","Eminem / Rihanna","The Monster","2692135","109951163251461103.jpg"
"5052317","Lose Yourself","Eminem","8 Mile","501243","109951173366641451.jpg"
"1297699","Not Afraid","Eminem","Recovery (Deluxe Edition)","133852","109951166198015914.jpg"
"17572558","Mockingbird","Eminem","Mockingbird","1618530","109951166033211649.jpg"
"1322432164","Without Me","Eminem","Suicide Squad: The Album","74220396","109951163909301156.jpg"
"1485777161","Rap God","Eminem","The Marshall Mathers LP2","96565611","109951165378735128.jpg"
"1318733599","Sunflower","Post Malone / Swae Lee","Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture)","74878945","109951171748635952.jpg"
"1387574419","Circles","Post Malone","Circles","81254419","109951169872426635.jpg"
"555974038","Better Now","Post Malone","beerbongs & bentleys","38513012","109951169872913709.jpg"
"505828531","rockstar","Post Malone / 21 Savage","rockstar","36169246","18347550533465073.jpg"
"3420781828","God's Plan","Drake","ZERO REGRETS","392405839","109951173746228969.jpg"
"411349769","One Dance","Drake / WizKid / Kyla","Views","34678261","109951167103661801.jpg"
"5100769","Nothing On You","B.o.B / Bruno Mars","Essential R&B - Summer 2010","504055","1698745464926789.jpg"
"17793698","Whistle","Flo Rida","Whistle","1637473","109951173145184379.jpg"
"26658058","Right Round","Flo Rida / Kesha","Absolute Summer Hits 2009","2549146","2001111162580879.jpg"
"25677983","Can't Hold Us","Macklemore & Ryan Lewis / Ray Dalton","The Heist","2273235","109951166715475208.jpg"
"26623199","Thrift Shop","Macklemore / Macklemore & Ryan Lewis","Maximum Hit Music 2013 Volume 2 (2013)","2536399","2346357813736153.jpg"
"1416661690","Old Town Road (feat. Billy Ray Cyrus) [Remix]","Lil Nas X / Billy Ray Cyrus","2020 GRAMMY® Nominees","84978224","109951164626136840.jpg"
