297	Lavender Haze	Taylor Swift	Lavender Haze	Taylor Swift	Midnights (3am Edition)	03:22
298	Delicate	Taylor Swift	Delicate	Taylor Swift	reputation	03:52
299	Karma	Taylor Swift	Karma	Taylor Swift	Midnights (3am Edition)	03:24
300	Anti-Hero	Taylor Swift	Anti-Hero	Taylor Swift	Midnights (3am Edition)	03:20
301	What Makes You Beautiful	One Direction	What Makes You Beautiful（是什么让你如此美丽）	One Direction	What Makes You Beautiful	03:18
302	Another Day Of Sun	La La Land Cast	Another Day Of Sun（《LA LA LAND》插曲）	La La Land Cast	Soundtracks	03:48
303	I Really Like You	Carly Rae Jepsen	I Really Like You	Carly Rae Jepsen	I Really Like You	03:24
304	How Long	Charlie Puth	How Long	Charlie Puth	Voicenotes	03:20
305	Hits Different	Taylor Swift	Hits Different	Taylor Swift	Midnights (The Til Dawn Edition)	03:54
306	Five Hundred Miles	Justin Timberlake	Five Hundred Miles（五百英里）	Justin Timberlake / Carey Mulligan / Stark Sands	Inside Llewyn Davis: Original Soundtrack Recording（醉乡民谣）	03:27
307	Nothing On You	B.o.B	Nothing On You	B.o.B / Bruno Mars	Essential R&B - Summer 2010	04:28
308	Turnin'	Young Rising Sons	Turnin'	Young Rising Sons	Young Rising Sons	03:29
309	Summer Vibe	Walk off the Earth	Summer Vibe	Walk off the Earth	Summer Vibe	03:18
310	Solo Dance	Martin Jensen	Solo Dance	Martin Jensen	Solo Dance	02:53
311	Walk Thru Fire	Vicetone	Walk Thru Fire（赴汤蹈火）	Vicetone / Meron Ryan	Walk Thru Fire	03:14
312	Meant To Be	Arc North	Meant To Be（命中注定）	Arc North / Krista Marina	Meant To Be	03:28
313	Run Free	Deep Chills	Run Free (feat. IVIE)	Deep Chills / IVIE	Run Free (feat. IVIE)	02:50
314	Shots	Imagine Dragons	Shots (Broiler Remix)	Imagine Dragons / Broiler	Shots	03:11
315	Come Back To Me	宇多田ヒカル	Come Back To Me	宇多田ヒカル	Promo Only: Mainstream Radio, March 2009	03:58
316	Go Again	King CAAN	Go Again (feat. ELYSA)	King CAAN / Elysa	Go Again (feat. ELYSA)	02:59
317	One Day	Matisyahu	One Day	Matisyahu	One Day	03:26
